2020-04-13 19:44:14,066 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2020-04-13 19:44:14,682 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2020-04-13 19:44:14,683 INFO  Logger.cs: 73 - Commit version 1.5.1-0-g916b5db
2020-04-13 19:44:14,731 INFO  Logger.cs: 74 - Build version 1.5.7152.31018
2020-04-13 19:44:15,234 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2020-04-13 19:44:15,235 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2020-04-13 19:44:17,493 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2020-04-13 20:02:03,695 INFO  SwAddin.cs: 271 - Assembly export called for file simplified model
2020-04-13 20:02:03,733 INFO  SwAddin.cs: 276 - Save is required
2020-04-13 20:02:03,734 INFO  SwAddin.cs: 290 - Saving assembly
2020-04-13 20:02:03,735 INFO  SwAddin.cs: 293 - Opening property manager
2020-04-13 20:02:04,196 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from simplified model
2020-04-13 20:02:04,307 INFO  ExportHelperExtension.cs: 1142 - Found 23 in simplified model
2020-04-13 20:02:04,308 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in simplified model
2020-04-13 20:02:04,309 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-04-13 20:02:04,350 INFO  ExportHelperExtension.cs: 1167 - 1 components to check
2020-04-13 20:02:04,360 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from simplified model.iam-1
2020-04-13 20:02:04,361 INFO  ExportHelperExtension.cs: 1142 - Found 45 in simplified model.iam-1
2020-04-13 20:02:04,362 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in simplified model.iam-1
2020-04-13 20:02:04,362 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from simplified model
